no,game_id,type,released,rtp,base_rtp,free_rtp,hit_rate,free_trigger,bonus_trigger,variance,volatility,size,line,feature1,feature2,feature3,feature4,theme1,theme2,theme3,theme4
280,The Big Easy,seq,,95.80%,64.48%,31.32%,40.31%,0.82%,0.81%,47.1672,13.461,,,,,,,,,,
278,King of Macedonia,seq,,97.36%,59.78%,37.58%,26.69%,0.98%,0.00%,42.8531,12.8306,,,,,,,,,,
277,Jester Diamonds,duc,,96.46%,31.71%,64.74%,34.96%,2.63%,0.00%,38.0247,12.0862,,,,,,,,,,
276,MB Hot Bells,seq,,93.33%,69.48%,23.85%,55.21%,1.64%,0.00%,44.2729,13.0414,,,,,,,,,,
275,Hot Hit Ignite,seq,,96.36%,48.38%,27.67%,25.44%,0.62%,1.11%,44.6864,13.1022,,,,,,,,,,
274,MB Lucky Lines,seq,,93.38%,40.34%,53.04%,17.82%,1.41%,0.00%,42.9524,12.8455,,,,,,,,,,
273,Divers Dream,seq,,95.57%,62.80%,32.77%,31.24%,1.25%,0.00%,27.3613,10.2524,,,,,,,,,,
272,Catch Meow If You Can,t8g,,97.15%,68.51%,28.65%,28.83%,0.55%,0.00%,69.9072,16.3877,,,,,,,,,,
270,Scarab Link,seq,,95.57%,70.52%,25.05%,21.69%,0.40%,0.00%,72.5381,16.6932,,,,,,,,,,
269,Star Goddess,seq,,95.88%,70.37%,15.50%,21.98%,0.55%,0.00%,29.9274,10.7224,,,,,,,,,,
268,MB Red Hot Tamales,seq,,93.78%,60.39%,0.00%,32.63%,1.86%,1.86%,88.7663,18.4663,,,,,,,,,,
267,Triple Double Stars Wheel,seq,,92.92%,55.67%,0.00%,13.89%,1.49%,1.49%,78.2465,17.3376,,,,,,,,,,
266,Captain Canine,t8g,,95.22%,68.84%,26.38%,37.41%,0.73%,0.00%,25.4388,9.8856,,,,,,,,,,
265,Hexbreaker3,seq,,97.56%,69.32%,28.24%,23.09%,0.56%,0.00%,82.3358,17.7849,,,,,,,,,,
264,MB Da Vinci Diamonds,seq,,93.97%,81.52%,12.45%,42.79%,0.55%,0.00%,29.1155,10.5759,,,,,,,,,,
263,Solar Disc Unleashed,t8g,,96.21%,63.17%,33.04%,34.93%,0.50%,0.00%,43.2738,12.8934,,,,,,,,,,
262,Super Piggy Jackpots,t8g,,97.50%,83.11%,14.39%,52.67%,0.27%,0.00%,59.7328,15.1483,,,,,,,,,,
261,All In,seq,,,,,,0.67%,1.16%,55.6471,14.621,,,,,,,,,,
260,Valley of the Kings,seq,,95.75%,45.28%,34.08%,28.57%,0.66%,1.66%,35.5283,11.6827,,,,,,,,,,
259,Pink Ice,seq,,92.92%,92.92%,0.00%,23.21%,0.00%,0.00%,34.1288,11.4503,,,,,,,,,,
258,Piggy Bank Smash,t8g,,92.22%,69.06%,0.00%,45.55%,1.25%,1.25%,22.221,9.2393,,,,,,,,,,
257,MB Emerald 7s,seq,,93.80%,76.44%,17.35%,56.10%,1.12%,0.00%,37.1208,11.9417,,,,,,,,,,
256,Gorilla's Wheel,t8g,,95.04%,65.11%,23.68%,24.35%,0.83%,0.76%,73.6089,16.8159,,,,,,,,,,
255,Chili Bonus Fiesta,t8g,,95.57%,77.88%,17.68%,29.89%,0.62%,0.00%,17.8084,8.2712,,,,,,,,,,
254,Piggy Bucks,duc,,95.92%,63.04%,32.88%,25.16%,1.15%,0.00%,32.9799,11.2559,,,,,,,,,,
253,Sweet Bears,t8g,,95.21%,55.37%,21.44%,46.97%,0.71%,0.00%,50.5824,13.9398,,,,,,,,,,
252,MB Gold Forge,seq,,94.44%,42.23%,52.21%,27.80%,2.33%,0.00%,38.247,12.1215,,,,,,,,,,
251,Fortune Coin,seq,,96.30%,59.39%,17.97%,31.06%,0.64%,0.36%,79.5519,17.4816,,,,,,,,,,
250,Caribbean Kitty: Mega Bomb,t8g,,95.50%,63.88%,31.62%,35.60%,1.01%,1.88%,45.8767,13.2755,,,,,,,,,,
249,Rolling in More Gold,t8g,,,28.45%,67.32%,37.49%,2.71%,,32.2192,11.1253,,,,,,,,,,
248,Mammoth Cash : The Ages,t8g,,,,,39.81%,1.29%,,30.3837,10.8038,,,,,,,,,,
247,MB Wolf Run,seq,,,,,,0.76%,,29.1168,10.5762,,,,,,,,,,
246,Alice Fortune Hat,t8g,,,59.83%,35.62%,,0.76%,2.48%,53.0556,14.2765,,,,,,,,,,
245,Ace of Vegas,t8g,,,,,,2.10%,,44.5022,13.0752,,,,,,,,,,
