no,game_id,type,released,rtp,base_rtp,free_rtp,hit_rate,free_trigger,bonus_trigger,variance,volatility,size,line,feature1,feature2,feature3,feature4,theme1,theme2,theme3,theme4
457,Hip Hop Hogs Last Dance,t8g,,96.35%,57.65%,38.70%,31.93%,2.39%,0.00%,37.8273,12.0548,,,,,,,,,,
456,Flaming Bingo Riches,t8g,,,,,,1.18%,,26.4969,10.0891,,,,,,,,,,
455,Hip Hop Hogs Party Night,t8g,,95.72%,27.60%,68.11%,30.80%,0.49%,2.08%,34.807,11.5635,,,,,,,,,,
454,Prosperous Fu Dai Quest,t8g,,97.11%,40.15%,56.97%,29.72%,1.71%,0.00%,43.8732,12.9824,,,,,,,,,,
453,Black Chip Jackpot,duc,,95.52%,57.07%,38.45%,31.49%,1.30%,0.00%,40.7185,12.507,,,,,,,,,,
452,Texas Oil Rush,t8g,,86.07%,49.94%,36.13%,20.88%,1.42%,0.00%,33.8547,11.4042,,,,,,,,,,
451,Retro Boogie Blast,t8g,,,,,,1.32%,0.63%,38.5075,12.1627,,,,,,,,,,
450,7 Dwarves' Golden Apple,t8g,,95.30%,27.52%,67.78%,33.84%,2.40%,0.00%,47.9797,13.5764,,,,,,,,,,
449,Chili Picante Jackpot,t8g,,96.18%,30.66%,65.52%,33.30%,2.22%,0.00%,48.4644,13.6448,,,,,,,,,,
448,Cash 'N Stack,duc,,,,,,0.65%,,43.8075,12.9727,,,,,,,,,,
447,Fabulous Freedom Jackpot,t8g,,,,,,0.68%,1.43%,32.6013,11.1911,,,,,,,,,,
446,Piggy’s Jackpot Board,t8g,,98.38%,27.53%,59.79%,29.96%,2.14%,0.95%,42.766,12.8176,,,,,,,,,,
445,Hallo-win Fiesta,duc,,,55.33%,39.82%,19.50%,0.70%,,52.598,14.2148,,,,,,,,,,
444,Mega Piggy Smash,duc,,,96.08%,,14.31%,,,39.4667,12.3132,,,,,,,,,,
443,Buzzing Fortune,duc,,,,,,0.80%,,38.7728,12.2045,,,,,,,,,,
442,Minecart Mania,t8g,,95.90%,62.32%,33.58%,31.76%,0.98%,0.00%,37.3412,11.9771,,,,,,,,,,
441,Super Coin 1000,duc,,,,,,,,92.3645,18.8369,,,,,,,,,,
440,Glorious Honey,t8g,,,,,,0.72%,0.18%,58.0256,14.9302,,,,,,,,,,
438,Piggy's Coin Stack,t8g,,95.45%,54.87%,40.58%,22.50%,0.99%,0.00%,52.8352,14.2468,,,,,,,,,,
437,Ra's Eternal Glory,t8g,,95.74%,39.75%,45.23%,32.08%,1.34%,0.61%,33.4207,11.3309,,,,,,,,,,
436,Elegant Fortune Jackpot,t8g,,95.80%,45.09%,30.49%,15.07%,1.26%,1.03%,48.0239,13.5827,,,,,,,,,,
435,Raging Tiger Jackpot,t8g,,,,,,0.83%,,30.6435,10.8499,,,,,,,,,,
434,Vault Master Mania,t8g,,95.54%,45.87%,49.66%,9.30%,1.25%,0.00%,71.4014,16.5619,,,,,,,,,,
433,Pot o' Gold Rainbow,t8g,,,,,,2.11%,,39.6797,12.3464,,,,,,,,,,
432,Owl's Avarice,t8g,,95.82%,73.22%,22.60%,27.58%,0.65%,0.00%,34.2876,11.4769,,,,,,,,,,
431,Wings of Love,t8g,,,,,,0.99%,,29.1017,10.5734,,,,,,,,,,
430,Cleopatra's 7Jewels,t8g,,93.62%,51.57%,25.33%,17.77%,0.78%,0.59%,29.1635,10.5846,,,,,,,,,,
429,Mystical Bean Jackpot,t8g,,95.58%,47.43%,33.42%,32.03%,1.14%,0.49%,28.0911,10.3882,,,,,,,,,,
428,Dragon&Tiger Double Fate,t8g,,96.11%,60.65%,35.46%,28.76%,1.07%,0.00%,29.525,10.65,,,,,,,,,,
427,Holly Jolly Bingo,t8g,,94.45%,45.37%,49.08%,20.81%,1.90%,0.00%,32.9593,11.2524,,,,,,,,,,
426,Honeycomb Quest,t8g,,,29.63%,63.67%,31.90%,1.90%,0.67%,34.9997,11.5955,,,,,,,,,,
425,Harvesting Pumpkin Fortunes,t8g,,95.64%,51.71%,43.92%,31.19%,0.94%,0.52%,31.8873,11.0679,,,,,,,,,,
424,Medusa's Wheel of Fate,t8g,,95.94%,71.93%,24.01%,20.40%,0.68%,0.00%,46.7632,13.4032,,,,,,,,,,
423,Midnight Hunters,t8g,,,,,,1.22%,,17.1893,8.1261,,,,,,,,,,
422,Savanna Unleashed,t8g,,95.59%,59.54%,36.06%,13.33%,0.94%,0.00%,42.1491,12.7248,,,,,,,,,,
421,Cheshire's Magic Mayhem,t8g,,96.76%,62.80%,33.96%,18.96%,0.97%,0.00%,33.6074,11.3625,,,,,,,,,,
420,Money Stack Mayhem,t8g,,96.19%,54.91%,5.74%,34.18%,0.56%,1.62%,34.8285,11.5671,,,,,,,,,,
419,7 Pigs Coin Link,t8g,,96.21%,29.94%,66.27%,33.32%,2.40%,0.00%,44.7114,13.1059,,,,,,,,,,
418,Fin-tastic Catch,t8g,,95.59%,42.88%,52.71%,32.93%,1.30%,0.00%,44.845,13.1254,,,,,,,,,,
417,Diamond Splendor,t8g,,,,,,3.34%,0.93%,62.694,15.5192,,,,,,,,,,
416,Super Hot Cactus,t8g,,95.79%,58.64%,37.16%,34.47%,1.13%,0.00%,38.0596,12.0917,,,,,,,,,,
415,Freedom Rush Jackpot,t8g,,95.89%,60.08%,35.81%,15.57%,0.91%,0.00%,41.7189,12.6597,,,,,,,,,,
414,Bier District Jackpot,t8g,,96.15%,60.68%,35.47%,16.42%,0.92%,0.00%,42.0228,12.7057,,,,,,,,,,
413,The Tentacular Kraken,t8g,,96.06%,37.13%,15.35%,27.95%,0.66%,1.31%,43.5813,12.9392,,,,,,,,,,
412,Lunar Trinity Jackpot,t8g,,95.81%,37.21%,58.60%,29.87%,2.29%,0.00%,46.1828,13.3198,,,,,,,,,,
411,Kingdom of Diamond Riches,t8g,,95.70%,65.66%,30.04%,31.53%,0.95%,0.00%,38.5743,12.1732,,,,,,,,,,
410,Blazing Lava Bomb,t8g,,,55.65%,39.95%,22.03%,1.34%,,39.034,12.2455,,,,,,,,,,
409,Mermaid's Delights,t8g,,,,,,0.88%,,48.9245,13.7094,,,,,,,,,,
408,Galactic Rustlers,t8g,,95.98%,62.94%,33.05%,19.66%,0.90%,0.00%,39.8042,12.3657,,,,,,,,,,
407,Hippity Hoppity Hoo,t8g,,96.13%,64.51%,31.61%,22.41%,0.97%,0.00%,43.4203,12.9152,,,,,,,,,,
406,Marauders of Fortune,t8g,,95.84%,47.14%,48.70%,23.90%,2.10%,0.00%,31.7448,11.0431,,,,,,,,,,
405,Who Took The Gold,t8g,,,58.33%,40.24%,28.86%,0.83%,0.51%,35.2393,11.6351,,,,,,,,,,
403,Piggy’s Jackpot Wheel,t8g,,,67.24%,28.08%,16.76%,1.17%,,46.545,13.3719,,,,,,,,,,
402,Hot & Cool Devils,t8g,,96.25%,50.42%,33.56%,24.30%,0.98%,0.50%,42.4455,12.7694,,,,,,,,,,
401,Wild Wild Henhouse,t8g,,,,,,1.31%,,29.3005,10.6095,,,,,,,,,,
400,DoubleDown All-Stars,t8g,,96.09%,59.99%,36.10%,19.45%,1.22%,0.00%,39.1207,12.2591,,,,,,,,,,
399,Astral Jackpot Wilds,t8g,,96.22%,58.52%,37.70%,19.99%,1.41%,0.00%,37.2995,11.9704,,,,,,,,,,
398,Bamboo Secret,duc,,,,,,1.68%,0.91%,25.0399,9.8078,,,,,,,,,,
397,Hog the Gold,t8g,,95.75%,53.70%,42.05%,33.61%,1.48%,0.00%,41.8744,12.6833,,,,,,,,,,
396,Wealthy Toad 888,t8g,,96.36%,57.71%,38.65%,33.39%,1.32%,2.16%,33.7747,11.3907,,,,,,,,,,
395,Billy the Kitten,t8g,,,,,,0.90%,,45.0226,13.1514,,,,,,,,,,
394,Golden Chime,duc,,,,,,1.26%,1.47%,59.8837,15.1674,,,,,,,,,,
393,Happy Fu Dai,t8g,,96.60%,30.56%,66.04%,28.77%,2.13%,0.00%,40.4428,12.4645,,,,,,,,,,
392,Money Mania - Pharaoh's Fortune,seq,,96.10%,49.33%,31.53%,27.53%,1.06%,2.06%,39.0907,12.2544,,,,,,,,,,
391,The 7 Gifts of Christmas,t8g,,95.65%,28.35%,67.30%,33.17%,2.58%,0.00%,38.9172,12.2272,,,,,,,,,,
390,Gummy Bear Factory,duc,,,,,,1.97%,,46.1587,13.3163,,,,,,,,,,
389,Treasures of Kukulkan,t8g,,95.92%,25.31%,38.62%,30.58%,1.67%,0.59%,37.1541,11.947,,,,,,,,,,
387,Canopy of Riches,t8g,,,,,,0.90%,,29.2298,10.5967,,,,,,,,,,
386,Hoo Hoo Hoo Monkey,duc,,,,,,1.53%,2.21%,43.0839,12.8651,,,,,,,,,,
385,Happy Piñata Time!,t8g,,,,,,1.28%,0.54%,29.0218,10.5589,,,,,,,,,,
384,Great Bear,seq,,96.34%,60.81%,35.52%,30.60%,0.99%,0.00%,59.2575,15.0879,,,,,,,,,,
383,Blingo Bingo,t8g,,,51.03%,44.91%,25.92%,0.79%,,50.6842,13.9538,,,,,,,,,,
382,Jack'O Lantern Night,duc,,97.71%,79.77%,17.95%,35.78%,1.38%,0.00%,28.8518,10.5279,,,,,,,,,,
381,Thunderous Strike,t8g,,96.29%,74.26%,22.02%,21.20%,0.66%,0.00%,46.0575,13.3017,,,,,,,,,,
380,Tower of Riches,seq,,95.98%,63.87%,32.11%,28.77%,0.94%,0.00%,31.3269,10.9702,,,,,,,,,,
379,Piggy Prestige,t8g,,96.05%,54.21%,41.84%,31.89%,1.11%,0.00%,38.7191,12.196,,,,,,,,,,
378,Top Dollar Premium,seq,,94.64%,49.14%,45.50%,14.64%,2.31%,0.00%,35.9475,11.7514,,,,,,,,,,
377,Angler's Blue,t8g,,95.60%,57.08%,38.52%,24.27%,0.88%,0.00%,59.3823,15.1037,,,,,,,,,,
376,Corn Frenzy,t8g,,,,,,2.28%,,40.7854,12.5172,,,,,,,,,,
375,Raging Bears Jackpot,t8g,,96.31%,56.22%,40.09%,27.03%,1.02%,0.00%,42.8663,12.8326,,,,,,,,,,
374,Bumblebee Frenzy,duc,,97.46%,24.30%,73.17%,27.96%,0.80%,1.50%,43.2929,12.8963,,,,,,,,,,
372,Lucky Ox,seq,,96.24%,37.29%,26.46%,18.86%,0.99%,0.99%,37.5697,12.0136,,,,,,,,,,
371,Arctic Goddess,seq,,96.40%,59.09%,37.30%,26.82%,0.88%,0.00%,38.2312,12.119,,,,,,,,,,
370,Monarch of the Pyramids,t8g,,96.31%,57.91%,38.40%,27.39%,1.01%,0.00%,31.0311,10.9183,,,,,,,,,,
369,Treasure of the Jaguar,seq,,96.22%,40.24%,5.04%,35.22%,0.56%,1.72%,30.1022,10.7536,,,,,,,,,,
368,Blooming Sunflower,t8g,,96.25%,58.48%,37.77%,32.15%,1.32%,0.00%,28.319,10.4303,,,,,,,,,,
367,Gingerbeard's Treasure,t8g,,95.82%,57.96%,37.86%,22.78%,1.31%,0.00%,33.0599,11.2696,,,,,,,,,,
366,Hola Chilli,t8g,,103.69%,66.13%,37.56%,35.89%,2.20%,2.01%,38.4501,12.1536,,,,,,,,,,
365,Tailgate Party,seq,,95.84%,44.92%,23.80%,33.40%,0.00%,1.53%,31.5529,11.0097,,,,,,,,,,
364,Feng Shui Fortune,t8g,,96.32%,50.52%,31.64%,25.72%,0.81%,0.54%,44.8492,13.126,,,,,,,,,,
363,Surfing Seagulls,t8g,,96.33%,59.50%,36.83%,30.84%,1.16%,0.00%,31.5164,11.0033,,,,,,,,,,
362,Gingerbread Dreams,t8g,,96.24%,58.55%,37.69%,24.21%,1.09%,0.00%,27.8127,10.3366,,,,,,,,,,
361,Wild Cactus Jackpot,t8g,,,,,,0.92%,,45.6197,13.2383,,,,,,,,,,
360,Honey Bucks,seq,,96.32%,57.53%,21.66%,31.52%,0.96%,0.73%,27.7718,10.329,,,,,,,,,,
359,Ocean 777,duc,,97.57%,55.60%,41.96%,35.47%,1.50%,1.79%,31.7229,11.0393,,,,,,,,,,
358,Rhythm King,t8g,,96.36%,58.60%,37.76%,30.17%,1.30%,0.00%,33.53,11.3494,,,,,,,,,,
357,Golden Champion,t8g,,95.70%,55.96%,39.74%,31.74%,1.32%,0.00%,31.7137,11.0377,,,,,,,,,,
356,Wolf Ridge,seq,,96.22%,66.30%,29.92%,27.22%,0.64%,0.00%,30.6917,10.8584,,,,,,,,,,
355,Wild Honey Frenzy,t8g,,,,,,1.01%,,35.5294,11.6829,,,,,,,,,,
354,Egyptian Stars,seq,,,,,,0.97%,0.78%,30.581,10.8388,,,,,,,,,,
353,Hip Hop Hogs,t8g,,96.09%,27.58%,68.51%,30.87%,0.46%,2.21%,46.0207,13.2964,,,,,,,,,,
352,Bison Triumph,t8g,,95.26%,66.25%,29.01%,27.99%,0.87%,0.00%,29.2627,10.6026,,,,,,,,,,
351,Gold Coin Fever,duc,,,,,,1.90%,,47.5129,13.5102,,,,,,,,,,
350,Zodiac Dragon,seq,,95.88%,63.33%,32.56%,33.20%,0.99%,0.00%,32.1081,11.1061,,,,,,,,,,
349,Penguin World,t8g,,96.64%,68.68%,27.96%,31.47%,0.91%,0.00%,35.1125,11.6141,,,,,,,,,,
348,It's Magic Amber,seq,,,,,,0.63%,,34.1671,11.4567,,,,,,,,,,
347,Temple Of Fire - Cash Eruption,seq,,95.74%,68.60%,27.14%,27.45%,0.88%,0.00%,39.282,12.2844,,,,,,,,,,
346,Jungle Queen,t8g,,,,,,0.73%,,35.4498,11.6698,,,,,,,,,,
345,Honeycomb Jackpot,t8g,,95.89%,56.76%,39.14%,31.49%,1.32%,0.00%,41.5806,12.6387,,,,,,,,,,
344,Goldfish Fortune,duc,,96.91%,63.15%,33.75%,27.72%,1.24%,0.00%,24.3073,9.6633,,,,,,,,,,
343,Buffalo Bash,duc,,97.30%,63.25%,34.05%,13.20%,0.89%,0.00%,46.0052,13.2941,,,,,,,,,,
342,Big City 5's®,seq,,96.00%,47.39%,48.61%,29.94%,1.80%,0.00%,34.2484,11.4703,,,,,,,,,,
341,Golden Carpet,t8g,,97.81%,67.18%,30.62%,31.47%,0.81%,0.00%,43.8608,12.9806,,,,,,,,,,
340,Carrot Frenzy : Harvest Time,t8g,,97.58%,42.84%,54.74%,28.95%,0.93%,0.00%,79.7062,17.4986,,,,,,,,,,
339,Majestic Blue,t8g,,97.02%,63.43%,33.58%,32.83%,0.72%,0.00%,69.9535,16.3931,,,,,,,,,,
338,Magical Orb,t8g,,96.99%,66.26%,30.74%,30.96%,0.99%,0.00%,53.4883,14.3346,,,,,,,,,,
337,Raging Wild,seq,,97.82%,68.99%,28.83%,24.49%,0.67%,0.00%,49.4956,13.7892,,,,,,,,,,
336,Arrow of Hearts: Winning Love,t8g,,95.96%,75.91%,20.05%,31.02%,0.60%,0.00%,38.413,12.1477,,,,,,,,,,
335,Magic Moons,seq,,97.60%,45.38%,52.22%,24.94%,1.69%,0.00%,37.2598,11.964,,,,,,,,,,
334,Golden Marlin,t8g,,96.86%,50.53%,33.00%,32.69%,1.30%,0.54%,31.9085,11.0716,,,,,,,,,,
333,Banana Blast,t8g,,85.75%,57.86%,27.89%,27.85%,1.31%,0.00%,20.2941,8.8296,,,,,,,,,,
332,Tumblin' Gold,t8g,,96.55%,45.02%,51.52%,43.47%,1.43%,0.00%,37.008,11.9235,,,,,,,,,,
331,Sizzling 7's Piggy Parade,seq,,97.09%,65.45%,31.64%,47.52%,0.62%,0.00%,57.7741,14.8978,,,,,,,,,,
330,Rosa's Fiesta,seq,,97.12%,37.11%,60.01%,36.60%,1.31%,0.00%,106.179,20.1965,,,,,,,,,,
329,Two Sided Heart,t8g,,97.65%,56.04%,41.60%,28.94%,1.09%,0.00%,57.5129,14.8641,,,,,,,,,,
327,Sea Cash,seq,,96.96%,36.06%,23.50%,36.41%,0.60%,1.15%,42.7946,12.8218,,,,,,,,,,
326,Carrot Frenzy,duc,,97.54%,33.39%,64.16%,30.15%,0.79%,1.49%,47.9381,13.5705,,,,,,,,,,
325,Wild Stampede,duc,,,30.67%,66.65%,21.65%,2.43%,0.14%,36.4938,11.8404,,,,,,,,,,
324,Wild Pirates,seq,,,,,,0.77%,,29.5405,10.6528,,,,,,,,,,
323,Mammoth Cash Ice Blast,duc,,,,,,1.35%,,44.6667,13.0993,,,,,,,,,,
322,Freedom Festival,t8g,,97.93%,59.67%,38.26%,30.71%,0.84%,0.00%,54.2634,14.4381,,,,,,,,,,
321,Disco Dolphin,seq,,,,,,0.68%,0.83%,35.6248,11.6986,,,,,,,,,,
320,Fortune Coin Boost,seq,,,,,,0.65%,0.39%,46.1394,13.3135,,,,,,,,,,
319,Party People!,t8g,,97.28%,43.85%,53.43%,47.73%,1.61%,0.00%,26.9361,10.1724,,,,,,,,,,
317,Treasure Box Kingdom,seq,,97.60%,70.76%,26.84%,19.52%,0.70%,1.32%,47.7766,13.5476,,,,,,,,,,
316,Grand Blue,t8g,,,,,,0.46%,0.44%,86.0936,18.1862,,,,,,,,,,
315,Hot Hit Pepper Pays,seq,,96.58%,49.60%,25.44%,26.01%,0.65%,1.19%,47.0249,13.4406,,,,,,,,,,
314,Cinderella,t8g,,97.00%,60.25%,36.75%,30.74%,1.12%,0.00%,33.2219,11.2971,,,,,,,,,,
313,Amazing Safari,t8g,,96.74%,46.47%,50.26%,30.64%,1.86%,0.00%,35.1509,11.6205,,,,,,,,,,
312,DoubleBonus_extreme,duc,,97.58%,69.59%,27.99%,20.16%,1.54%,0.00%,51.9317,14.1245,,,,,,,,,,
